id,hh_id,age,gender,pm25_baseline,pm25_scenario,RR,increment
1,1,44,Male,14.20456483,6,1.1,5
2,1,41,Female,14.20456483,6,1.1,5
3,2,56,Male,16.62958218,6.400475007,1.1,5
4,2,78,Female,16.62958218,6.400475007,1.1,5
5,3,66,Female,13.75698016,6,1.1,5
6,3,45,Female,13.75698016,6,1.1,5
7,4,52,Male,13.57125932,6.205938959,1.1,5
8,4,46,Female,13.57125932,6.205938959,1.1,5
9,4,41,Female,13.57125932,6.205938959,1.1,5
10,5,37,Male,12.63419149,6,1.1,5
11,5,80,Male,12.63419149,6,1.1,5
12,6,52,Female,13.2161482,10.37517897,1.1,5
13,6,40,Female,13.2161482,10.37517897,1.1,5
14,6,64,Male,13.2161482,10.37517897,1.1,5
15,7,40,Male,19.9527224,6.967994946,1.1,5
16,7,70,Male,19.9527224,6.967994946,1.1,5
17,7,63,Female,19.9527224,6.967994946,1.1,5
18,8,71,Female,14.83791562,9.149890155,1.1,5
19,8,80,Female,14.83791562,9.149890155,1.1,5
20,8,76,Female,14.83791562,9.149890155,1.1,5
21,9,74,Female,15.35773571,6,1.1,5
22,9,76,Male,15.35773571,6,1.1,5
23,10,80,Female,15.73106229,6.09360434,1.1,5
24,10,63,Female,15.73106229,6.09360434,1.1,5
25,11,66,Female,18.69742764,6,1.1,5
26,11,35,Female,18.69742764,6,1.1,5
27,11,68,Female,18.69742764,6,1.1,5
28,12,49,Female,13.45180851,6,1.1,5
29,12,44,Female,13.45180851,6,1.1,5
30,12,39,Female,13.45180851,6,1.1,5
31,13,39,Male,12.02247855,10.09321831,1.1,5
32,13,51,Female,12.02247855,10.09321831,1.1,5
33,13,36,Female,12.02247855,10.09321831,1.1,5
34,14,61,Male,20,6,1.1,5
35,14,45,Male,20,6,1.1,5
36,15,71,Female,13.67651035,7.636780521,1.1,5
37,15,51,Female,13.67651035,7.636780521,1.1,5
38,15,80,Male,13.67651035,7.636780521,1.1,5
39,16,69,Male,12.83080209,8.692872571,1.1,5
40,16,76,Male,12.83080209,8.692872571,1.1,5
41,17,47,Female,11.29118064,7.356380377,1.1,5
42,17,64,Female,11.29118064,7.356380377,1.1,5
43,17,65,Female,11.29118064,7.356380377,1.1,5
44,18,68,Female,11.14585283,6,1.1,5
45,18,51,Female,11.14585283,6,1.1,5
46,19,43,Male,13.27807956,8.882331613,1.1,5
47,19,43,Male,13.27807956,8.882331613,1.1,5
48,20,56,Female,16.85395745,7.341176164,1.1,5
49,20,80,Male,16.85395745,7.341176164,1.1,5
50,21,66,Female,18.32954442,6,1.1,5
51,21,72,Female,18.32954442,6,1.1,5
52,22,74,Male,17.12276506,6,1.1,5
53,22,36,Male,17.12276506,6,1.1,5
54,22,35,Female,17.12276506,6,1.1,5
55,23,52,Male,13.90902811,11.17343487,1.1,5
56,23,41,Female,13.90902811,11.17343487,1.1,5
57,24,61,Female,15.17924981,6,1.1,5
58,24,41,Female,15.17924981,6,1.1,5
59,25,70,Female,12.88621061,6,1.1,5
60,25,39,Male,12.88621061,6,1.1,5
61,26,45,Male,12.84834552,8.066518726,1.1,5
62,26,61,Male,12.84834552,8.066518726,1.1,5
63,27,65,Male,17.6539515,7.620460512,1.1,5
64,27,76,Female,17.6539515,7.620460512,1.1,5
65,27,45,Female,17.6539515,7.620460512,1.1,5
66,28,62,Female,11.95322226,6,1.1,5
67,28,67,Male,11.95322226,6,1.1,5
68,28,76,Female,11.95322226,6,1.1,5
69,29,66,Male,20,6,1.1,5
70,29,57,Male,20,6,1.1,5
71,30,55,Male,14.72904122,6.767394966,1.1,5
72,30,78,Male,14.72904122,6.767394966,1.1,5
73,30,73,Female,14.72904122,6.767394966,1.1,5
74,31,71,Female,15.64361648,9.278792583,1.1,5
75,31,66,Female,15.64361648,9.278792583,1.1,5
76,32,74,Male,12.78441689,8.27224807,1.1,5
77,32,49,Female,12.78441689,8.27224807,1.1,5
78,32,66,Female,12.78441689,8.27224807,1.1,5
79,33,41,Male,13.27683393,6.014125152,1.1,5
80,33,48,Female,13.27683393,6.014125152,1.1,5
81,34,76,Female,11.0489516,6,1.1,5
82,34,59,Male,11.0489516,6,1.1,5
83,34,37,Male,11.0489516,6,1.1,5
84,35,57,Male,14.45122383,7.542133514,1.1,5
85,35,45,Female,14.45122383,7.542133514,1.1,5
86,35,65,Male,14.45122383,7.542133514,1.1,5
87,36,37,Female,16.25694721,7.314706694,1.1,5
88,36,42,Male,16.25694721,7.314706694,1.1,5
89,37,61,Female,15.97291303,8.259423493,1.1,5
90,37,61,Female,15.97291303,8.259423493,1.1,5
91,38,59,Female,12.65539054,6.208404099,1.1,5
92,38,62,Male,12.65539054,6.208404099,1.1,5
93,39,62,Female,12.63413409,8.798708106,1.1,5
94,39,47,Female,12.63413409,8.798708106,1.1,5
95,40,49,Male,13.49340384,6,1.1,5
96,40,78,Female,13.49340384,6,1.1,5
97,40,75,Female,13.49340384,6,1.1,5
98,41,65,Female,19.48818201,6.3389106,1.1,5
99,41,72,Female,19.48818201,6.3389106,1.1,5
100,42,47,Female,11.58808914,8.481629047,1.1,5
101,42,75,Male,11.58808914,8.481629047,1.1,5
102,42,45,Male,11.58808914,8.481629047,1.1,5
103,43,80,Male,14.46284522,8.979943217,1.1,5
104,43,56,Female,14.46284522,8.979943217,1.1,5
105,43,58,Male,14.46284522,8.979943217,1.1,5
106,44,79,Male,20,6,1.1,5
107,44,46,Male,20,6,1.1,5
108,45,78,Male,14.69707534,7.214380814,1.1,5
109,45,60,Female,14.69707534,7.214380814,1.1,5
110,46,54,Male,10.92047789,8.217558023,1.1,5
111,46,70,Female,10.92047789,8.217558023,1.1,5
112,47,62,Female,13.00569169,6,1.1,5
113,47,50,Female,13.00569169,6,1.1,5
114,48,78,Female,16.45637994,7.9612512,1.1,5
115,48,36,Male,16.45637994,7.9612512,1.1,5
116,48,71,Female,16.45637994,7.9612512,1.1,5
117,49,53,Female,13.87319138,6,1.1,5
118,49,47,Male,13.87319138,6,1.1,5
119,50,73,Male,13.31437091,9.040506024,1.1,5
120,50,64,Male,13.31437091,9.040506024,1.1,5
121,51,39,Male,13.9682483,8.076964064,1.1,5
122,51,41,Female,13.9682483,8.076964064,1.1,5
123,51,50,Male,13.9682483,8.076964064,1.1,5
124,52,78,Male,15.27148994,8.53810459,1.1,5
125,52,77,Female,15.27148994,8.53810459,1.1,5
126,53,53,Male,19.79552631,7.241438659,1.1,5
