sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_0,0.03434297987819677,0.06956496525494053,0.08993943715672918,4.6011947348098504e-5,5.001610295407592e-5,5.731339378073242e-5,0,0,0
female_1,0.03222743034504213,0.05228529983595481,0.08329171418889528,5.2888409222649445e-5,7.790990814840747e-5,6.424151097172314e-5,0,0,0
female_2,0.03122277659111892,0.04471214544317347,0.07912449644093399,5.701618173316826e-5,9.688934375530646e-5,6.790343938379206e-5,0,0,0
female_3,0.030339459601679972,0.03880634473430558,0.07564535767444168,6.137866588476289e-5,1.2129636024907864e-4,7.18334401475717e-5,0,0,0
female_4,0.029343663133174002,0.03378775721929031,0.07233970343600088,6.614505156308019e-5,1.5053267069612013e-4,7.594229778231556e-5,0,0,0
female_5,0.028416976515536603,0.02940279627633112,0.06930137995059037,7.111593705817141e-5,1.8522975054842552e-4,8.028553533613071e-5,0,0,0
female_6,0.027360840294731924,0.025252105088390688,0.06658832274466042,7.640412824096892e-5,2.2908885084872477e-4,8.484810006335642e-5,0,0,0
female_7,0.026469435549461275,0.02206749298857935,0.06346984324599661,8.208784548661372e-5,2.800547595281326e-4,8.970951096608055e-5,0,0,0
female_8,0.025697813060145396,0.01924421815675605,0.06062037395615952,8.794308707663401e-5,3.3867202061964725e-4,9.481767306971178e-5,0,0,0
female_9,0.02501764428242203,0.016713405996577346,0.05804118134317103,9.432607502946386e-5,4.0481432912655205e-4,1.0019178564712151e-4,0,0,0
female_10,0.02429950037640402,0.014624136507352326,0.0554294395057543,1.0117211972607866e-4,4.8014489881651715e-4,1.059893481296595e-4,0,0,0
female_11,0.023599816135262262,0.012661333691247507,0.05279447000455588,1.0856486710585832e-4,5.634188000660129e-4,1.1206011555576172e-4,0,0,0
female_12,0.022935418017628717,0.011050313228289102,0.0503467222443902,1.1605182475032529e-4,6.531910161655104e-4,1.1849971297814196e-4,0,0,0
female_13,0.02241274190337219,0.009726888328791702,0.04800763630384408,1.2395709412170398e-4,7.479051888066629e-4,1.2513772159997063e-4,0,0,0
female_14,0.02179616245058131,0.008554157988525726,0.04572006697497757,1.3161538594401627e-4,8.462925984305701e-4,1.3221930950608476e-4,0,0,0
female_15,0.021217574654017232,0.007550449326026956,0.04352650781117224,1.4038490657435139e-4,9.436823136451376e-4,1.3961695370391905e-4,0,0,0
female_16,0.020716472650612612,0.006703142861366169,0.04121174745936232,1.4925719557243303e-4,0.0010403886324782765,1.4766173283354541e-4,0,0,0
female_17,0.020145647972634267,0.005984793950165367,0.03912678257648318,1.5802778751385896e-4,0.0011342924613895519,1.5612674813988194e-4,0,0,0
female_18,0.019639350337116033,0.005395665800072683,0.03719477421356972,1.6710891285683208e-4,0.0012219003586954097,1.6482299579711145e-4,0,0,0
female_19,0.019060449512508737,0.004861676220562988,0.035205656418202745,1.767305831149595e-4,0.0013060714451288034,1.740803320204176e-4,0,0,0
